Ticker,FX
MUV2.DE,EUR=X
NNGE.BE,GBP=X
KN.PA,EUR=X
GASNF.MC,EUR=X
NESTE.HE,EUR=X
NESN.VX,CHF=X
SMWH.L,GBP=X
NXG.L,GBP=X
NXT.L,GBP=X
NIBE-B.ST,SEK=X
NMC.L,GBP=X
NN.AS,EUR=X
NOKIA.HE,EUR=X
NRE1V.HE,EUR=X
NDA-SEK.ST,SEK=X
NHY.OL,NOK=X
NOVN.VX,CHF=X
NOVO-B.CO,DKK=X
NZYM-B.CO,DKK=X
OELR.SW,CHF=X
OCDO.L,GBP=X
OMUB.MU,GBP=X
OMV.VI,EUR=X
ORA.MI,EUR=X
ORNBV.HE,EUR=X
ORK.OL,NOK=X
OPA.F,EUR=X
ORSTED.CO,DKK=X
OSR.DE,EUR=X
PPB.IR,EUR=X
PNDORA.CO,DKK=X
PARG.SW,CHF=X
PGHN.VX,CHF=X
PSON.L,GBP=X
PNN.L,GBP=X
RI.PA,EUR=X
PSN.L,GBP=X
UG.PA,EUR=X
PHIA.AS,EUR=X
PHNX.L,GBP=X
PIRC.MI,EUR=X
POM.PA,EUR=X
PTEC.L,GBP=X
POLY.L,GBP=X
PAH3.DE,EUR=X
PST.MI,EUR=X
PSM.DE,EUR=X
PROX.BR,EUR=X
PRU.L,GBP=X
PRY.MI,EUR=X
PSPN.SW,CHF=X
PUB.PA,EUR=X
QIA.DE,EUR=X
QLT.L,GBP=X
RBI.VI,EUR=X
RRS.L,GBP=X
RAND.AS,EUR=X
RB.L,GBP=X
REC.MI,EUR=X
REE.MC,EUR=X
REL.L,GBP=X
RDLSF,EUR=X
RCO.PA,EUR=X
RNL.HM,EUR=X
RTO.L,GBP=X
REP.MC,EUR=X
RXL.PA,EUR=X
RHM.DE,EUR=X
RMV.L,GBP=X
RIO.L,GBP=X
ROG.VX,CHF=X
ROCK-B.CO,DKK=X
RR.L,GBP=X
ROR.L,GBP=X
RBS.L,GBP=X
RDSA.L,GBP=X
RMG.L,GBP=X
RBREW.CO,DKK=X
RPC.L,GBP=X
RSA.L,GBP=X
RTL.BR,EUR=X
RUBSF,EUR=X
RWE.DE,EUR=X
RYA.L,GBP=X
SAAB-B-.ST,SEK=X
SAF.PA,EUR=X
SGE.L,GBP=X
SBRY.L,GBP=X
SGO.PA,EUR=X
SPM.MI,EUR=X
SAMPO.HE,EUR=X
SAND.ST,SEK=X
SNW.DE,EUR=X
SAP.SW,EUR=X
SRT3.DE,EUR=X
SBMO.AS,EUR=X
SHA.DE,EUR=X
SCHA.OL,NOK=X
SCHP.VA,CHF=X
SU.PA,EUR=X
SDR.L,GBP=X
SCR.PA,EUR=X
SSE.L,GBP=X
G24.DE,EUR=X
GRB.MU,EUR=X
SECU-B.ST,SEK=X
SGRO.L,GBP=X
SESG.PA,EUR=X
SVT.L,GBP=X
SGSN.VX,CHF=X
S7E.F,GBP=X
SIE.DE,EUR=X
SGRE.MC,EUR=X
SHL.DE,EUR=X
LIGHT.AS,EUR=X
SIKA.VX,CHF=X
WAF.DE,EUR=X
XCL1.SG,DKK=X
SEB-A.ST,SEK=X
SKA-B.ST,SEK=X
SKF-B.ST,SEK=X
SKY.L,GBP=X
